Date,Product_ID,Region,Historical_Demand_Units,Unit_Price_USD,Lead_Time_Days,Current_Stock_Level,Predicted_30Day_Demand,Reorder_Point,Inventory_Health_Status
2025-01-01,PRD_001_Laptops,North,142,850,6,940,172,42,OVERSTOCK_WARNING
2025-01-01,PRD_001_Laptops,South,54,850,13,151,65,35,OPTIMAL
2025-01-01,PRD_001_Laptops,East,60,850,9,201,72,27,OVERSTOCK_WARNING
2025-01-01,PRD_001_Laptops,West,114,850,13,167,138,74,OPTIMAL
2025-01-01,PRD_002_Monitors,North,156,320,6,951,189,46,OVERSTOCK_WARNING
2025-01-01,PRD_002_Monitors,South,191,320,5,741,232,47,OVERSTOCK_WARNING
2025-01-01,PRD_002_Monitors,East,92,320,4,423,111,18,OVERSTOCK_WARNING
2025-01-01,PRD_002_Monitors,West,197,320,8,465,239,78,OVERSTOCK_WARNING
2025-01-01,PRD_003_Keyboards,North,60,45,3,539,72,9,OVERSTOCK_WARNING
2025-01-01,PRD_003_Keyboards,South,97,45,8,332,117,38,OVERSTOCK_WARNING
2025-01-01,PRD_003_Keyboards,East,128,45,3,554,155,19,OVERSTOCK_WARNING
2025-01-01,PRD_003_Keyboards,West,98,45,12,555,119,58,OVERSTOCK_WARNING
2025-01-01,PRD_004_Processors,North,54,400,5,955,65,13,OVERSTOCK_WARNING
2025-01-01,PRD_004_Processors,South,94,400,6,911,114,28,OVERSTOCK_WARNING
2025-01-01,PRD_004_Processors,East,170,400,7,898,206,59,OVERSTOCK_WARNING
2025-01-01,PRD_004_Processors,West,174,400,7,920,211,60,OVERSTOCK_WARNING
2025-01-02,PRD_001_Laptops,North,206,850,4,467,250,41,OVERSTOCK_WARNING
2025-01-02,PRD_001_Laptops,South,128,850,4,1097,155,25,OVERSTOCK_WARNING
2025-01-02,PRD_001_Laptops,East,48,850,12,644,58,28,OVERSTOCK_WARNING
2025-01-02,PRD_001_Laptops,West,169,850,6,171,205,50,OPTIMAL
2025-01-02,PRD_002_Monitors,North,150,320,9,507,182,67,OVERSTOCK_WARNING
2025-01-02,PRD_002_Monitors,South,47,320,5,285,57,11,OVERSTOCK_WARNING
2025-01-02,PRD_002_Monitors,East,120,320,6,641,145,36,OVERSTOCK_WARNING
2025-01-02,PRD_002_Monitors,West,143,320,6,81,173,42,OPTIMAL
2025-01-02,PRD_003_Keyboards,North,173,45,8,185,210,69,OPTIMAL
2025-01-02,PRD_003_Keyboards,South,43,45,8,556,52,17,OVERSTOCK_WARNING
2025-01-02,PRD_003_Keyboards,East,185,45,12,635,224,111,OVERSTOCK_WARNING
2025-01-02,PRD_003_Keyboards,West,201,45,12,1037,244,120,OVERSTOCK_WARNING
2025-01-02,PRD_004_Processors,North,53,400,10,541,64,26,OVERSTOCK_WARNING
2025-01-02,PRD_004_Processors,South,79,400,7,799,95,27,OVERSTOCK_WARNING
2025-01-02,PRD_004_Processors,East,121,400,7,871,146,42,OVERSTOCK_WARNING
2025-01-02,PRD_004_Processors,West,193,400,11,843,234,106,OVERSTOCK_WARNING
2025-01-03,PRD_001_Laptops,North,163,850,11,236,198,89,OPTIMAL
2025-01-03,PRD_001_Laptops,South,54,850,3,936,65,8,OVERSTOCK_WARNING
2025-01-03,PRD_001_Laptops,East,110,850,11,423,133,60,OVERSTOCK_WARNING
2025-01-03,PRD_001_Laptops,West,168,850,10,551,204,84,OVERSTOCK_WARNING
2025-01-03,PRD_002_Monitors,North,102,320,13,578,123,66,OVERSTOCK_WARNING
2025-01-03,PRD_002_Monitors,South,120,320,10,754,145,60,OVERSTOCK_WARNING
2025-01-03,PRD_002_Monitors,East,202,320,3,458,245,30,OVERSTOCK_WARNING
2025-01-03,PRD_002_Monitors,West,44,320,12,310,53,26,OVERSTOCK_WARNING
2025-01-03,PRD_003_Keyboards,North,80,45,9,280,97,36,OVERSTOCK_WARNING
2025-01-03,PRD_003_Keyboards,South,111,45,4,112,134,22,OVERSTOCK_WARNING
2025-01-03,PRD_003_Keyboards,East,87,45,9,486,105,39,OVERSTOCK_WARNING
2025-01-03,PRD_003_Keyboards,West,101,45,10,884,122,50,OVERSTOCK_WARNING
2025-01-03,PRD_004_Processors,North,138,400,10,805,167,69,OVERSTOCK_WARNING
2025-01-03,PRD_004_Processors,South,74,400,3,818,89,11,OVERSTOCK_WARNING
2025-01-03,PRD_004_Processors,East,140,400,5,848,170,35,OVERSTOCK_WARNING
2025-01-03,PRD_004_Processors,West,44,400,12,582,53,26,OVERSTOCK_WARNING
2025-01-04,PRD_001_Laptops,North,181,850,9,874,219,81,OVERSTOCK_WARNING
2025-01-04,PRD_001_Laptops,South,176,850,12,633,213,105,OVERSTOCK_WARNING
2025-01-04,PRD_001_Laptops,East,163,850,5,654,198,40,OVERSTOCK_WARNING
2025-01-04,PRD_001_Laptops,West,135,850,9,320,163,60,OVERSTOCK_WARNING
2025-01-04,PRD_002_Monitors,North,91,320,6,813,110,27,OVERSTOCK_WARNING
2025-01-04,PRD_002_Monitors,South,190,320,9,828,230,85,OVERSTOCK_WARNING
2025-01-04,PRD_002_Monitors,East,182,320,13,620,221,118,OVERSTOCK_WARNING
2025-01-04,PRD_002_Monitors,West,75,320,9,778,91,33,OVERSTOCK_WARNING
2025-01-04,PRD_003_Keyboards,North,125,45,4,761,151,25,OVERSTOCK_WARNING
2025-01-04,PRD_003_Keyboards,South,84,45,11,1092,102,46,OVERSTOCK_WARNING
2025-01-04,PRD_003_Keyboards,East,173,45,6,877,210,51,OVERSTOCK_WARNING
